"Kod";"Nazwa";"rok;zgony;na 1000 ludności;2015;[-]";"rok;zgony;na 1000 ludności;2016;[-]";"rok;zgony;na 1000 ludności;2017;[-]";"rok;zgony;na 1000 ludności;2018;[-]";"rok;zgony;na 1000 ludności;2019;[-]";"rok;zgony;na 1000 ludności;2020;[-]";
0201000;"Powiat bolesławiecki";9,63;9,86;10,20;10,60;10,93;11,82;
0202000;"Powiat dzierżoniowski";12,53;12,00;12,98;12,71;12,56;14,64;
0203000;"Powiat głogowski";8,09;8,72;8,86;9,53;9,92;11,66;
0204000;"Powiat górowski";11,39;10,71;11,11;11,58;11,10;12,59;
0205000;"Powiat jaworski";12,05;11,03;11,95;11,50;11,63;13,68;
0206000;"Powiat karkonoski";11,48;12,48;12,32;13,80;12,40;14,51;
0207000;"Powiat kamiennogórski";12,48;10,77;11,67;12,67;12,32;13,38;
0208000;"Powiat kłodzki";12,61;12,45;12,74;12,97;12,79;15,55;
0209000;"Powiat legnicki";10,31;10,69;11,11;11,39;10,85;13,20;
0210000;"Powiat lubański";10,58;10,39;11,78;12,34;11,96;13,30;
0211000;"Powiat lubiński";8,97;9,22;9,73;9,84;9,90;11,56;
0212000;"Powiat lwówecki";11,59;11,26;11,80;11,88;12,59;14,53;
0213000;"Powiat milicki";10,67;9,74;9,59;11,16;11,00;13,36;
0214000;"Powiat oleśnicki";9,02;9,22;9,79;9,81;9,83;11,94;
0215000;"Powiat oławski";8,74;8,86;9,62;9,19;9,27;11,60;
0216000;"Powiat polkowicki";9,55;9,45;9,83;10,11;9,63;11,54;
0217000;"Powiat strzeliński";11,81;11,12;11,59;11,48;11,14;13,85;
0218000;"Powiat średzki";10,42;9,29;10,26;10,28;9,88;11,22;
0219000;"Powiat świdnicki";10,90;10,79;11,10;11,70;12,09;13,49;
0220000;"Powiat trzebnicki";8,99;8,55;10,01;10,11;9,62;11,63;
0221000;"Powiat wałbrzyski";13,46;12,82;12,79;13,56;14,24;15,43;
0222000;"Powiat wołowski";12,19;10,42;10,38;11,28;11,64;12,93;
0223000;"Powiat wrocławski";7,46;7,66;7,39;8,12;7,77;8,51;
0224000;"Powiat ząbkowicki";12,42;12,58;13,09;13,24;13,38;15,20;
0225000;"Powiat zgorzelecki";11,75;11,37;12,13;12,87;12,67;14,52;
0226000;"Powiat złotoryjski";11,26;10,06;10,37;10,51;11,44;12,92;
0261000;"Powiat m.Jelenia Góra";12,21;12,41;13,22;13,54;13,88;15,63;
0262000;"Powiat m.Legnica";11,42;10,51;11,32;11,89;11,39;13,13;
0264000;"Powiat m.Wrocław";10,87;10,14;10,80;11,08;10,79;12,24;
0265000;"Powiat m.Wałbrzych od 2013";13,89;13,90;14,10;14,24;15,06;17,01;
0401000;"Powiat aleksandrowski";11,29;11,70;11,08;13,28;11,79;13,38;
0402000;"Powiat brodnicki";9,86;9,50;9,01;10,41;9,02;11,22;
0403000;"Powiat bydgoski";7,30;7,36;8,18;8,36;7,67;8,77;
0404000;"Powiat chełmiński";9,36;9,27;9,75;9,77;10,36;11,98;
0405000;"Powiat golubsko-dobrzyński";9,27;9,72;9,43;10,88;10,34;11,50;
0406000;"Powiat grudziądzki";9,22;8,83;8,41;9,55;9,23;10,57;
0407000;"Powiat inowrocławski";10,15;10,49;10,79;11,93;11,62;13,92;
0408000;"Powiat lipnowski";10,25;9,99;11,02;11,61;10,75;12,47;
0409000;"Powiat mogileński";9,15;9,77;9,93;10,39;10,27;12,15;
0410000;"Powiat nakielski";8,73;8,54;9,01;10,03;9,86;11,01;
0411000;"Powiat radziejowski";10,53;10,98;11,21;12,26;11,59;13,70;
0412000;"Powiat rypiński";11,49;10,11;11,45;11,56;11,49;12,00;
0413000;"Powiat sępoleński";9,52;9,39;8,66;10,59;9,40;11,90;
0414000;"Powiat świecki";9,50;10,18;10,34;9,92;10,80;11,39;
0415000;"Powiat toruński";8,01;8,59;8,80;9,06;8,83;9,73;
0416000;"Powiat tucholski";8,21;8,76;9,12;9,87;9,04;10,67;
0417000;"Powiat wąbrzeski";8,65;9,33;10,25;10,12;10,73;12,55;
0418000;"Powiat włocławski";10,80;10,42;11,25;10,81;11,10;13,25;
0419000;"Powiat żniński";9,69;9,75;10,16;10,84;10,42;11,86;
0461000;"Powiat m.Bydgoszcz";10,40;10,42;10,94;11,72;11,56;13,49;
0462000;"Powiat m.Grudziądz";11,17;11,35;11,60;13,23;12,29;13,83;
0463000;"Powiat m.Toruń";9,41;9,45;9,67;9,99;10,57;12,23;
0464000;"Powiat m.Włocławek";12,02;10,76;11,59;12,23;12,30;14,60;
0601000;"Powiat bialski";11,31;11,19;11,55;12,14;11,39;14,16;
0602000;"Powiat biłgorajski";10,22;10,43;10,42;10,75;10,18;12,53;
0603000;"Powiat chełmski";12,43;12,01;12,62;12,11;10,45;13,03;
0604000;"Powiat hrubieszowski";11,54;11,94;13,19;12,65;12,68;15,13;
0605000;"Powiat janowski";12,46;11,02;11,03;11,53;11,19;14,07;
0606000;"Powiat krasnostawski";14,03;12,33;13,78;13,29;14,08;15,54;
0607000;"Powiat kraśnicki";11,37;10,64;11,40;11,39;11,09;13,29;
0608000;"Powiat lubartowski";11,31;10,63;11,80;11,35;10,78;13,19;
0609000;"Powiat lubelski";9,82;9,59;9,69;9,94;9,20;10,57;
0610000;"Powiat łęczyński";8,23;7,57;9,34;9,09;7,93;11,26;
0611000;"Powiat łukowski";10,23;9,94;10,34;10,53;10,57;12,15;
0612000;"Powiat opolski";13,40;11,72;12,17;12,71;12,27;15,00;
0613000;"Powiat parczewski";12,01;11,89;12,41;13,00;12,32;13,67;
0614000;"Powiat puławski";11,02;11,47;11,04;11,06;11,27;13,28;
0615000;"Powiat radzyński";11,30;10,30;11,69;12,40;11,12;14,16;
0616000;"Powiat rycki";11,30;10,59;11,76;12,03;10,82;13,48;
0617000;"Powiat świdnicki";9,62;10,43;10,47;10,99;10,31;12,02;
0618000;"Powiat tomaszowski";11,46;11,09;11,72;11,82;12,63;13,77;
0619000;"Powiat włodawski";11,11;12,03;11,59;12,28;12,80;13,82;
0620000;"Powiat zamojski";11,31;11,75;12,18;12,46;12,77;14,87;
0661000;"Powiat m.Biała Podlaska";7,32;7,53;7,97;8,61;9,27;10,11;
0662000;"Powiat m.Chełm";9,52;9,73;10,42;10,65;9,72;12,75;
0663000;"Powiat m.Lublin";9,54;9,60;10,40;10,47;10,53;12,44;
0664000;"Powiat m.Zamość";8,43;7,89;8,54;9,10;9,57;11,15;
0801000;"Powiat gorzowski";9,06;8,85;9,03;10,54;9,92;10,58;
0802000;"Powiat krośnieński";10,55;9,70;10,53;10,55;11,40;11,57;
0803000;"Powiat międzyrzecki";10,07;9,63;9,17;10,19;10,03;13,23;
0804000;"Powiat nowosolski";10,16;10,14;10,41;11,05;11,10;13,10;
0805000;"Powiat słubicki";9,13;9,52;9,54;9,89;10,15;11,79;
0806000;"Powiat strzelecko-drezdenecki";9,80;10,73;11,05;11,67;11,72;12,59;
0807000;"Powiat sulęciński";10,75;11,34;10,88;11,40;11,18;13,61;
0808000;"Powiat świebodziński";9,90;9,27;10,68;11,04;10,69;12,70;
0809000;"Powiat zielonogórski";9,48;9,02;10,15;9,51;10,02;11,24;
0810000;"Powiat żagański";10,75;11,54;11,42;12,29;12,11;14,42;
0811000;"Powiat żarski";10,59;10,47;10,40;11,95;11,57;13,07;
0812000;"Powiat wschowski";10,53;8,94;9,23;10,35;10,75;10,75;
0861000;"Powiat m.Gorzów Wielkopolski";9,88;9,57;9,95;11,23;11,89;13,10;
0862000;"Powiat m.Zielona Góra";9,44;9,04;9,59;9,78;10,12;12,19;
1001000;"Powiat bełchatowski";9,46;9,06;9,14;9,15;9,16;10,79;
1002000;"Powiat kutnowski";12,77;12,80;13,36;14,54;13,34;16,42;
1003000;"Powiat łaski";12,46;11,47;11,84;11,93;12,47;14,20;
1004000;"Powiat łęczycki";12,65;12,36;13,02;13,81;12,81;15,70;
1005000;"Powiat łowicki";12,03;11,63;12,85;12,55;12,84;14,32;
1006000;"Powiat łódzki wschodni";9,88;10,46;10,73;11,10;10,81;12,32;
1007000;"Powiat opoczyński";11,64;10,46;11,83;11,91;11,73;14,96;
1008000;"Powiat pabianicki";12,36;11,83;12,63;12,95;12,01;14,95;
1009000;"Powiat pajęczański";12,18;11,54;11,39;11,66;11,76;14,24;
1010000;"Powiat piotrkowski";11,89;11,55;11,38;11,64;11,77;14,07;
1011000;"Powiat poddębicki";12,95;12,83;12,65;13,09;12,46;13,99;
1012000;"Powiat radomszczański";12,34;12,78;12,60;12,80;12,49;15,05;
1013000;"Powiat rawski";11,49;10,62;11,75;11,74;11,78;13,05;
1014000;"Powiat sieradzki";10,72;10,71;11,98;11,78;11,53;13,49;
1015000;"Powiat skierniewicki";11,89;12,19;11,78;12,52;11,36;14,26;
1016000;"Powiat tomaszowski";12,22;11,95;12,29;12,90;12,61;15,42;
1017000;"Powiat wieluński";11,95;11,28;11,84;11,71;11,86;13,37;
1018000;"Powiat wieruszowski";10,54;11,03;10,83;10,46;10,44;12,82;
1019000;"Powiat zduńskowolski";11,12;11,65;11,93;11,36;10,98;12,24;
1020000;"Powiat zgierski";11,86;11,76;11,70;12,12;11,65;13,71;
1021000;"Powiat brzeziński";12,03;11,96;12,11;12,55;12,53;15,23;
1061000;"Powiat m.Łódź";14,49;13,83;14,49;14,56;14,18;16,21;
1062000;"Powiat m.Piotrków Trybunalski";12,29;12,35;12,21;13,16;12,50;15,48;
1063000;"Powiat m.Skierniewice";9,70;10,10;9,26;10,27;9,85;11,58;
1201000;"Powiat bocheński";8,68;8,80;8,56;8,49;8,09;11,05;
1202000;"Powiat brzeski";8,70;9,07;8,97;9,02;9,23;11,41;
1203000;"Powiat chrzanowski";10,63;11,01;10,77;11,49;11,73;13,02;
1204000;"Powiat dąbrowski";9,62;9,51;9,54;9,58;9,93;11,63;
1205000;"Powiat gorlicki";9,40;9,35;9,31;9,44;9,51;10,87;
1206000;"Powiat krakowski";9,40;8,92;9,45;9,11;9,11;10,83;
1207000;"Powiat limanowski";8,10;7,80;8,21;7,91;8,68;9,74;
1208000;"Powiat miechowski";13,19;12,34;13,14;13,90;13,16;14,79;
1209000;"Powiat myślenicki";8,30;8,32;8,44;8,12;8,98;10,04;
1210000;"Powiat nowosądecki";7,10;7,65;7,56;7,89;7,85;10,12;
1211000;"Powiat nowotarski";7,91;8,34;7,93;8,37;8,41;10,21;
1212000;"Powiat olkuski";10,27;10,19;11,43;11,55;11,40;13,07;
1213000;"Powiat oświęcimski";10,46;9,74;10,53;10,68;10,94;13,01;
1214000;"Powiat proszowicki";11,17;11,08;11,24;11,12;12,01;11,98;
1215000;"Powiat suski";10,83;9,92;9,56;11,06;10,17;12,02;
1216000;"Powiat tarnowski";8,60;8,47;8,66;8,53;9,17;10,90;
1217000;"Powiat tatrzański";9,61;9,45;9,26;9,17;9,60;10,75;
1218000;"Powiat wadowicki";9,08;9,29;9,82;10,29;10,14;12,16;
1219000;"Powiat wielicki";8,64;8,19;8,28;8,41;8,22;9,47;
1261000;"Powiat m.Kraków";9,96;9,38;9,99;10,18;10,23;11,68;
1262000;"Powiat m.Nowy Sącz";8,42;8,84;9,05;8,79;9,70;12,07;
1263000;"Powiat m.Tarnów";9,74;8,72;9,77;10,44;10,52;12,85;
1401000;"Powiat białobrzeski";12,52;10,82;10,35;11,54;11,63;12,66;
1402000;"Powiat ciechanowski";10,16;10,05;10,71;11,17;11,21;13,78;
1403000;"Powiat garwoliński";9,60;10,01;9,82;10,11;10,86;12,34;
1404000;"Powiat gostyniński";10,87;11,97;12,08;12,03;11,87;15,26;
1405000;"Powiat grodziski";9,40;9,60;9,83;10,39;9,61;10,81;
1406000;"Powiat grójecki";11,56;11,26;11,67;12,08;11,55;14,02;
1407000;"Powiat kozienicki";11,25;11,60;11,19;11,00;11,78;13,86;
1408000;"Powiat legionowski";8,25;7,73;9,11;9,09;9,06;10,49;
1409000;"Powiat lipski";14,61;14,42;13,61;13,90;13,52;15,15;
1410000;"Powiat łosicki";12,07;12,52;12,46;13,28;12,91;14,22;
1411000;"Powiat makowski";11,61;11,58;12,31;13,36;11,98;15,94;
1412000;"Powiat miński";10,01;9,71;10,21;10,25;10,31;12,02;
1413000;"Powiat mławski";11,48;10,19;12,57;12,08;12,11;12,95;
1414000;"Powiat nowodworski";10,03;10,25;10,14;11,81;10,66;12,16;
1415000;"Powiat ostrołęcki";10,16;8,83;10,39;9,47;10,34;11,48;
1416000;"Powiat ostrowski";11,23;11,20;11,24;11,61;11,12;13,39;
1417000;"Powiat otwocki";10,30;10,13;10,58;10,67;10,20;12,48;
1418000;"Powiat piaseczyński";7,41;8,16;8,69;9,15;8,96;10,60;
1419000;"Powiat płocki";10,92;10,36;10,69;11,44;10,64;12,98;
1420000;"Powiat płoński";11,66;12,11;11,71;11,62;11,77;13,51;
1421000;"Powiat pruszkowski";9,42;9,03;9,86;9,82;9,76;10,92;
1422000;"Powiat przasnyski";10,69;11,26;10,13;10,67;11,66;13,58;
1423000;"Powiat przysuski";11,56;12,17;12,40;13,32;14,07;14,02;
1424000;"Powiat pułtuski";10,66;10,55;11,36;11,67;10,37;13,12;
1425000;"Powiat radomski";9,60;9,74;9,94;9,69;9,62;11,61;
1426000;"Powiat siedlecki";10,35;10,39;11,20;10,84;11,37;13,87;
1427000;"Powiat sierpecki";10,70;11,67;11,58;12,42;11,18;13,91;
1428000;"Powiat sochaczewski";11,14;10,64;10,59;10,76;11,50;12,35;
1429000;"Powiat sokołowski";12,12;12,54;12,52;12,59;12,82;14,77;
1430000;"Powiat szydłowiecki";10,89;10,26;11,51;11,30;11,09;14,01;
1432000;"Powiat warszawski zachodni";8,60;8,99;9,31;9,80;9,84;11,09;
1433000;"Powiat węgrowski";12,05;11,46;12,44;11,84;12,07;13,50;
1434000;"Powiat wołomiński";8,53;8,34;9,17;9,00;9,07;10,00;
1435000;"Powiat wyszkowski";9,74;9,08;10,92;10,54;10,30;12,44;
1436000;"Powiat zwoleński";11,79;11,72;11,62;12,81;12,06;13,80;
1437000;"Powiat żuromiński";11,05;11,31;11,80;13,09;12,20;13,96;
1438000;"Powiat żyrardowski";11,40;11,51;12,60;12,97;12,27;14,63;
