"Kod";"Nazwa";"porady ogółem;ogółem;2020;[-]";
011212001000;"Powiat bocheński";435527;
011212006000;"Powiat krakowski";1067668;
011212008000;"Powiat miechowski";184344;
011212009000;"Powiat myślenicki";498853;
011212014000;"Powiat proszowicki";169084;
011212019000;"Powiat wielicki";477962;
011212161000;"Powiat m.Kraków";3300286;
011212205000;"Powiat gorlicki";447701;
011212207000;"Powiat limanowski";454061;
011212210000;"Powiat nowosądecki";718990;
011212262000;"Powiat m.Nowy Sącz";396632;
011212303000;"Powiat chrzanowski";478289;
011212312000;"Powiat olkuski";441808;
011212313000;"Powiat oświęcimski";631160;
011212318000;"Powiat wadowicki";524473;
011212402000;"Powiat brzeski";288445;
011212404000;"Powiat dąbrowski";222694;
011212416000;"Powiat tarnowski";665625;
011212463000;"Powiat m.Tarnów";587775;
011216911000;"Powiat nowotarski";599120;
011216915000;"Powiat suski";271072;
011216917000;"Powiat tatrzański";249350;
012414402000;"Powiat bielski";653866;
012414403000;"Powiat cieszyński";777392;
012414417000;"Powiat żywiecki";625675;
012414461000;"Powiat m.Bielsko-Biała";744074;
012414507000;"Powiat lubliniecki";330630;
012414513000;"Powiat tarnogórski";616004;
012414562000;"Powiat m.Bytom";643641;
012414571000;"Powiat m.Piekary Śląskie";260928;
012414604000;"Powiat częstochowski";514554;
012414606000;"Powiat kłobucki";252857;
012414609000;"Powiat myszkowski";277988;
012414664000;"Powiat m.Częstochowa";873186;
012414705000;"Powiat gliwicki";493190;
012414766000;"Powiat m.Gliwice";636555;
012414778000;"Powiat m.Zabrze";697686;
012414863000;"Powiat m.Chorzów";471789;
012414869000;"Powiat m.Katowice";1352950;
012414870000;"Powiat m.Mysłowice";337336;
012414872000;"Powiat m.Ruda Śląska";557864;
012414874000;"Powiat m.Siemianowice Śląskie";289053;
012414876000;"Powiat m.Świętochłowice";230803;
012414911000;"Powiat raciborski";363107;
012414912000;"Powiat rybnicki";269245;
012414915000;"Powiat wodzisławski";564207;
012414967000;"Powiat m.Jastrzębie-Zdrój";415847;
012414973000;"Powiat m.Rybnik";508426;
012414979000;"Powiat m.Żory";195547;
012415001000;"Powiat będziński";685033;
012415016000;"Powiat zawierciański";510700;
012415065000;"Powiat m.Dąbrowa Górnicza";452326;
012415068000;"Powiat m.Jaworzno";420974;
012415075000;"Powiat m.Sosnowiec";884741;
012415108000;"Powiat mikołowski";453515;
012415110000;"Powiat pszczyński";491658;
012415114000;"Powiat bieruńsko-lędziński";266875;
012415177000;"Powiat m.Tychy";560407;
020811301000;"Powiat gorzowski";176550;
020811303000;"Powiat międzyrzecki";209395;
020811305000;"Powiat słubicki";124784;
020811306000;"Powiat strzelecko-drezdenecki";216304;
020811307000;"Powiat sulęciński";147280;
020811361000;"Powiat m.Gorzów Wielkopolski";526893;
020811402000;"Powiat krośnieński";201419;
020811404000;"Powiat nowosolski";373764;
020811408000;"Powiat świebodziński";206723;
020811409000;"Powiat zielonogórski";263092;
020811410000;"Powiat żagański";298011;
020811411000;"Powiat żarski";393627;
020811412000;"Powiat wschowski";149569;
020811462000;"Powiat m.Zielona Góra";661980;
023015706000;"Powiat jarociński";331687;
023015707000;"Powiat kaliski";268708;
023015708000;"Powiat kępiński";240295;
023015712000;"Powiat krotoszyński";310529;
023015717000;"Powiat ostrowski";684793;
023015718000;"Powiat ostrzeszowski";203772;
023015720000;"Powiat pleszewski";276077;
023015761000;"Powiat m.Kalisz";602365;
023015803000;"Powiat gnieźnieński";576074;
023015809000;"Powiat kolski";356554;
023015810000;"Powiat koniński";462073;
023015823000;"Powiat słupecki";274984;
023015827000;"Powiat turecki";408561;
023015830000;"Powiat wrzesiński";356882;
023015862000;"Powiat m.Konin";420977;
023015904000;"Powiat gostyński";358688;
023015905000;"Powiat grodziski";191076;
023015911000;"Powiat kościański";286115;
023015913000;"Powiat leszczyński";204434;
023015914000;"Powiat międzychodzki";86543;
023015915000;"Powiat nowotomyski";365490;
023015922000;"Powiat rawicki";310835;
023015929000;"Powiat wolsztyński";213308;
023015963000;"Powiat m.Leszno";361368;
023016001000;"Powiat chodzieski";194617;
023016002000;"Powiat czarnkowsko-trzcianecki";379484;
023016019000;"Powiat pilski";684898;
023016028000;"Powiat wągrowiecki";280988;
023016031000;"Powiat złotowski";322618;
023016116000;"Powiat obornicki";251193;
023016121000;"Powiat poznański";1605524;
023016124000;"Powiat szamotulski";322087;
023016125000;"Powiat średzki";239283;
023016126000;"Powiat śremski";250311;
023016264000;"Powiat m.Poznań";2455463;
023216301000;"Powiat białogardzki";234374;
023216308000;"Powiat kołobrzeski";355169;
