"Kod";"Nazwa";"lekarze (personel pracujący ogółem) na 10 tys. ludności;2019;[osoba]";
0201000;"Powiat bolesławiecki";29,7;
0202000;"Powiat dzierżoniowski";30,3;
0203000;"Powiat głogowski";52,1;
0204000;"Powiat górowski";14,3;
0205000;"Powiat jaworski";28,1;
0206000;"Powiat karkonoski";34,0;
0207000;"Powiat kamiennogórski";30,5;
0208000;"Powiat kłodzki";41,2;
0209000;"Powiat legnicki";16,3;
0210000;"Powiat lubański";10,0;
0211000;"Powiat lubiński";68,1;
0212000;"Powiat lwówecki";4,1;
0213000;"Powiat milicki";34,9;
0214000;"Powiat oleśnicki";25,8;
0215000;"Powiat oławski";30,7;
0216000;"Powiat polkowicki";12,4;
0217000;"Powiat strzeliński";35,1;
0218000;"Powiat średzki";4,9;
0219000;"Powiat świdnicki";36,5;
0220000;"Powiat trzebnicki";36,7;
0221000;"Powiat wałbrzyski";23,0;
0222000;"Powiat wołowski";35,0;
0223000;"Powiat wrocławski";22,4;
0224000;"Powiat ząbkowicki";22,7;
0225000;"Powiat zgorzelecki";26,6;
0226000;"Powiat złotoryjski";30,1;
0261000;"Powiat m.Jelenia Góra";73,6;
0262000;"Powiat m.Legnica";51,8;
0264000;"Powiat m.Wrocław";129,7;
0265000;"Powiat m.Wałbrzych od 2013";50,6;
0401000;"Powiat aleksandrowski";64,1;
0402000;"Powiat brodnicki";24,9;
0403000;"Powiat bydgoski";24,0;
0404000;"Powiat chełmiński";20,2;
0405000;"Powiat golubsko-dobrzyński";29,3;
0406000;"Powiat grudziądzki";17,1;
0407000;"Powiat inowrocławski";33,6;
0408000;"Powiat lipnowski";24,0;
0409000;"Powiat mogileński";20,8;
0410000;"Powiat nakielski";27,8;
0411000;"Powiat radziejowski";36,2;
0412000;"Powiat rypiński";24,1;
0413000;"Powiat sępoleński";34,3;
0414000;"Powiat świecki";27,9;
0415000;"Powiat toruński";15,0;
0416000;"Powiat tucholski";29,6;
0417000;"Powiat wąbrzeski";32,5;
0418000;"Powiat włocławski";15,1;
0419000;"Powiat żniński";33,2;
0461000;"Powiat m.Bydgoszcz";133,7;
0462000;"Powiat m.Grudziądz";67,1;
0463000;"Powiat m.Toruń";80,8;
0464000;"Powiat m.Włocławek";67,3;
0601000;"Powiat bialski";13,6;
0602000;"Powiat biłgorajski";24,8;
0603000;"Powiat chełmski";4,4;
0604000;"Powiat hrubieszowski";17,2;
0605000;"Powiat janowski";37,0;
0606000;"Powiat krasnostawski";27,2;
0607000;"Powiat kraśnicki";36,0;
0608000;"Powiat lubartowski";31,0;
0609000;"Powiat lubelski";14,1;
0610000;"Powiat łęczyński";49,7;
0611000;"Powiat łukowski";24,5;
0612000;"Powiat opolski";36,8;
0613000;"Powiat parczewski";48,4;
0614000;"Powiat puławski";73,5;
0615000;"Powiat radzyński";39,8;
0616000;"Powiat rycki";58,0;
0617000;"Powiat świdnicki";37,4;
0618000;"Powiat tomaszowski";24,0;
0619000;"Powiat włodawski";56,3;
0620000;"Powiat zamojski";12,6;
0661000;"Powiat m.Biała Podlaska";72,2;
0662000;"Powiat m.Chełm";56,2;
0663000;"Powiat m.Lublin";204,9;
0664000;"Powiat m.Zamość";131,5;
0801000;"Powiat gorzowski";25,2;
0802000;"Powiat krośnieński";25,5;
0803000;"Powiat międzyrzecki";47,3;
0804000;"Powiat nowosolski";51,7;
0805000;"Powiat słubicki";25,8;
0806000;"Powiat strzelecko-drezdenecki";28,8;
0807000;"Powiat sulęciński";33,2;
0808000;"Powiat świebodziński";56,5;
0809000;"Powiat zielonogórski";29,8;
0810000;"Powiat żagański";18,4;
0811000;"Powiat żarski";35,8;
0812000;"Powiat wschowski";30,4;
0861000;"Powiat m.Gorzów Wielkopolski";74,9;
0862000;"Powiat m.Zielona Góra";76,5;
1001000;"Powiat bełchatowski";51,3;
1002000;"Powiat kutnowski";41,2;
1003000;"Powiat łaski";50,1;
1004000;"Powiat łęczycki";45,0;
1005000;"Powiat łowicki";29,1;
1006000;"Powiat łódzki wschodni";27,3;
1007000;"Powiat opoczyński";21,7;
1008000;"Powiat pabianicki";43,2;
1009000;"Powiat pajęczański";14,8;
1010000;"Powiat piotrkowski";8,0;
1011000;"Powiat poddębicki";29,9;
1012000;"Powiat radomszczański";47,5;
1013000;"Powiat rawski";41,6;
1014000;"Powiat sieradzki";55,5;
1015000;"Powiat skierniewicki";6,0;
1016000;"Powiat tomaszowski";42,1;
1017000;"Powiat wieluński";35,3;
1018000;"Powiat wieruszowski";17,6;
1019000;"Powiat zduńskowolski";29,8;
1020000;"Powiat zgierski";61,6;
1021000;"Powiat brzeziński";114,2;
1061000;"Powiat m.Łódź";128,0;
1062000;"Powiat m.Piotrków Trybunalski";53,9;
1063000;"Powiat m.Skierniewice";67,6;
1201000;"Powiat bocheński";37,3;
1202000;"Powiat brzeski";32,9;
1203000;"Powiat chrzanowski";64,3;
1204000;"Powiat dąbrowski";32,1;
1205000;"Powiat gorlicki";36,2;
1206000;"Powiat krakowski";25,1;
1207000;"Powiat limanowski";31,3;
1208000;"Powiat miechowski";52,0;
1209000;"Powiat myślenicki";44,9;
1210000;"Powiat nowosądecki";22,5;
1211000;"Powiat nowotarski";49,3;
1212000;"Powiat olkuski";47,8;
1213000;"Powiat oświęcimski";37,2;
1214000;"Powiat proszowicki";37,7;
1215000;"Powiat suski";42,5;
1216000;"Powiat tarnowski";18,9;
1217000;"Powiat tatrzański";45,4;
1218000;"Powiat wadowicki";23,9;
1219000;"Powiat wielicki";27,5;
1261000;"Powiat m.Kraków";169,8;
1262000;"Powiat m.Nowy Sącz";87,1;
1263000;"Powiat m.Tarnów";112,1;
1401000;"Powiat białobrzeski";29,3;
1402000;"Powiat ciechanowski";43,7;
1403000;"Powiat garwoliński";34,8;
1404000;"Powiat gostyniński";63,0;
1405000;"Powiat grodziski";75,0;
1406000;"Powiat grójecki";35,7;
1407000;"Powiat kozienicki";44,0;
1408000;"Powiat legionowski";49,5;
1409000;"Powiat lipski";31,6;
1410000;"Powiat łosicki";51,7;
1411000;"Powiat makowski";33,9;
1412000;"Powiat miński";33,9;
1413000;"Powiat mławski";26,2;
1414000;"Powiat nowodworski";43,2;
1415000;"Powiat ostrołęcki";7,9;
1416000;"Powiat ostrowski";34,0;
1417000;"Powiat otwocki";77,2;
1418000;"Powiat piaseczyński";72,3;
1419000;"Powiat płocki";10,0;
1420000;"Powiat płoński";35,6;
1421000;"Powiat pruszkowski";50,7;
1422000;"Powiat przasnyski";38,3;
1423000;"Powiat przysuski";22,7;
1424000;"Powiat pułtuski";35,9;
1425000;"Powiat radomski";18,1;
1426000;"Powiat siedlecki";4,8;
1427000;"Powiat sierpecki";24,8;
1428000;"Powiat sochaczewski";38,9;
1429000;"Powiat sokołowski";27,3;
1430000;"Powiat szydłowiecki";21,9;
1432000;"Powiat warszawski zachodni";43,8;
1433000;"Powiat węgrowski";16,9;
1434000;"Powiat wołomiński";33,2;
1435000;"Powiat wyszkowski";31,3;
1436000;"Powiat zwoleński";31,2;
1437000;"Powiat żuromiński";22,3;
1438000;"Powiat żyrardowski";27,7;
1461000;"Powiat m.Ostrołęka";87,8;
1462000;"Powiat m.Płock";101,8;
1463000;"Powiat m.Radom";86,5;
1464000;"Powiat m.Siedlce";147,2;
1465000;"Powiat m. st. Warszawa";149,5;
1601000;"Powiat brzeski";27,1;
1602000;"Powiat głubczycki";27,7;
1603000;"Powiat kędzierzyńsko-kozielski";39,7;
1604000;"Powiat kluczborski";36,0;
1605000;"Powiat krapkowicki";27,3;
1606000;"Powiat namysłowski";18,5;
1607000;"Powiat nyski";32,7;
1608000;"Powiat oleski";30,6;
1609000;"Powiat opolski";17,2;
1610000;"Powiat prudnicki";15,9;
1611000;"Powiat strzelecki";35,3;
1661000;"Powiat m.Opole";126,9;
1801000;"Powiat bieszczadzki";31,4;
1802000;"Powiat brzozowski";38,6;
1803000;"Powiat dębicki";24,0;
1804000;"Powiat jarosławski";36,9;
1805000;"Powiat jasielski";31,7;
1806000;"Powiat kolbuszowski";28,4;
1807000;"Powiat krośnieński";28,1;
1808000;"Powiat leżajski";30,1;
1809000;"Powiat lubaczowski";29,7;
1810000;"Powiat łańcucki";30,0;
1811000;"Powiat mielecki";32,6;
1812000;"Powiat niżański";22,7;
1813000;"Powiat przemyski";12,7;
1814000;"Powiat przeworski";21,1;
1815000;"Powiat ropczycko-sędziszowski";17,8;
1816000;"Powiat rzeszowski";21,0;
1817000;"Powiat sanocki";41,4;
1818000;"Powiat stalowowolski";37,3;
1819000;"Powiat strzyżowski";21,8;
1820000;"Powiat tarnobrzeski";34,2;
1821000;"Powiat leski";34,4;
1861000;"Powiat m.Krosno";106,9;
1862000;"Powiat m.Przemyśl";84,7;
1863000;"Powiat m.Rzeszów";184,9;
1864000;"Powiat m.Tarnobrzeg";68,9;
2001000;"Powiat augustowski";44,8;
2002000;"Powiat białostocki";23,6;
2003000;"Powiat bielski";34,2;
2004000;"Powiat grajewski";26,5;
2005000;"Powiat hajnowski";34,0;
2006000;"Powiat kolneński";23,9;
2007000;"Powiat łomżyński";2,0;
2008000;"Powiat moniecki";23,3;
2009000;"Powiat sejneński";30,1;
2010000;"Powiat siemiatycki";4,8;
2011000;"Powiat sokólski";24,3;
2012000;"Powiat suwalski";3,6;
2013000;"Powiat wysokomazowiecki";29,9;
2014000;"Powiat zambrowski";21,6;
2061000;"Powiat m.Białystok";119,9;
2062000;"Powiat m.Łomża";65,6;
2063000;"Powiat m.Suwałki";54,5;
2201000;"Powiat bytowski";22,6;
2202000;"Powiat chojnicki";40,0;
2203000;"Powiat człuchowski";15,7;
2204000;"Powiat gdański";14,0;
2205000;"Powiat kartuski";31,0;
2206000;"Powiat kościerski";48,0;
2207000;"Powiat kwidzyński";26,5;
2208000;"Powiat lęborski";31,6;
2209000;"Powiat malborski";37,8;
2210000;"Powiat nowodworski";12,4;
2211000;"Powiat pucki";19,0;
2212000;"Powiat słupski";4,7;
2213000;"Powiat starogardzki";27,0;
2214000;"Powiat tczewski";41,5;
2215000;"Powiat wejherowski";32,6;
2216000;"Powiat sztumski";4,6;
2261000;"Powiat m.Gdańsk";106,8;
2262000;"Powiat m.Gdynia";74,2;
2263000;"Powiat m.Słupsk";63,3;
2264000;"Powiat m.Sopot";80,3;
2401000;"Powiat będziński";45,9;
2402000;"Powiat bielski";27,1;
2403000;"Powiat cieszyński";47,5;
2404000;"Powiat częstochowski";36,6;
2405000;"Powiat gliwicki";51,2;
2406000;"Powiat kłobucki";22,8;
2407000;"Powiat lubliniecki";47,2;
2408000;"Powiat mikołowski";36,4;
2409000;"Powiat myszkowski";51,9;
2410000;"Powiat pszczyński";32,1;
2411000;"Powiat raciborski";32,6;
2412000;"Powiat rybnicki";10,9;
2413000;"Powiat tarnogórski";55,0;
2414000;"Powiat bieruńsko-lędziński";30,4;
2415000;"Powiat wodzisławski";28,3;
2416000;"Powiat zawierciański";32,1;
2417000;"Powiat żywiecki";28,9;
2461000;"Powiat m.Bielsko-Biała";113,0;
2462000;"Powiat m.Bytom";62,7;
2463000;"Powiat m.Chorzów";99,6;
2464000;"Powiat m.Częstochowa";95,9;
2465000;"Powiat m.Dąbrowa Górnicza";60,0;
2466000;"Powiat m.Gliwice";91,0;
2467000;"Powiat m.Jastrzębie-Zdrój";59,6;
2468000;"Powiat m.Jaworzno";58,6;
2469000;"Powiat m.Katowice";199,8;
2470000;"Powiat m.Mysłowice";46,2;
2471000;"Powiat m.Piekary Śląskie";84,3;
2472000;"Powiat m.Ruda Śląska";66,5;
2473000;"Powiat m.Rybnik";54,2;
2474000;"Powiat m.Siemianowice Śląskie";57,9;
2475000;"Powiat m.Sosnowiec";92,3;
