wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;w3;grupa_wiekowa;w1_0_11;w1_12_19;w1_20_39;w1_40_59;w1_60_69;w1_70plus;wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA;woj.;pow;nazwa;kod
dolnoœl¹skie;boles³awiecki;m. Boles³awiec;38486;16088;10590;27,5;:;0;291;2833;4529;3792;4643;dolnoœl¹skie;boles³awiecki;m. Boles³awiec;2;1;1;1;Boles³awiec;gmina miejska;43831;DOLNOŒL¥SKIE;boles³awiecki;m. Boles³awiec;020101
dolnoœl¹skie;boles³awiecki;gm.w. Boles³awiec;14863;4776;2794;18,8;:;0;98;1029;1755;1064;830;dolnoœl¹skie;boles³awiecki;gm.w. Boles³awiec;2;1;2;2;Boles³awiec;gmina wiejska;43831;DOLNOŒL¥SKIE;boles³awiecki;gm.w. Boles³awiec;020102
dolnoœl¹skie;boles³awiecki;gm.w. Gromadka;5317;1808;1144;21,5;:;0;35;305;558;488;422;dolnoœl¹skie;boles³awiecki;gm.w. Gromadka;2;1;3;2;Gromadka;gmina wiejska;43831;DOLNOŒL¥SKIE;boles³awiecki;gm.w. Gromadka;020103
dolnoœl¹skie;boles³awiecki;gm.m-w. Nowogrodziec;15229;4458;2391;15,7;:;0;66;837;1480;1128;947;dolnoœl¹skie;boles³awiecki;gm.m-w. Nowogrodziec;2;1;4;3;Nowogrodziec;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;boles³awiecki;gm.m-w. Nowogrodziec;020104
dolnoœl¹skie;boles³awiecki;gm.w. Osiecznica;7288;2285;1219;16,7;:;0;57;519;821;487;401;dolnoœl¹skie;boles³awiecki;gm.w. Osiecznica;2;1;5;2;Osiecznica;gmina wiejska;43831;DOLNOŒL¥SKIE;boles³awiecki;gm.w. Osiecznica;020105
dolnoœl¹skie;boles³awiecki;gm.w. Warta Boles³awiecka;8579;2742;1572;18,3;:;0;45;509;934;698;556;dolnoœl¹skie;boles³awiecki;gm.w. Warta Boles³awiecka;2;1;6;2;Warta Boles³awiecka;gmina wiejska;43831;DOLNOŒL¥SKIE;boles³awiecki;gm.w. Warta Boles³awiecka;020106
dolnoœl¹skie;dzier¿oniowski;m. Bielawa;29523;10846;6882;23,3;:;1;241;1658;3016;2808;3122;dolnoœl¹skie;dzier¿oniowski;m. Bielawa;2;2;1;1;Bielawa;gmina miejska;43831;DOLNOŒL¥SKIE;dzier¿oniowski;m. Bielawa;020201
dolnoœl¹skie;dzier¿oniowski;m. Dzier¿oniów;32869;13385;8232;25;:;0;313;2129;3793;3192;3958;dolnoœl¹skie;dzier¿oniowski;m. Dzier¿oniów;2;2;2;1;Dzier¿oniów;gmina miejska;43831;DOLNOŒL¥SKIE;dzier¿oniowski;m. Dzier¿oniów;020202
dolnoœl¹skie;dzier¿oniowski;gm.m-w. Pieszyce;9318;3070;1770;19;:;0;75;489;965;755;786;dolnoœl¹skie;dzier¿oniowski;gm.m-w. Pieszyce;2;2;3;3;Pieszyce;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;dzier¿oniowski;gm.m-w. Pieszyce;020203
dolnoœl¹skie;dzier¿oniowski;m. Pi³awa Górna;6364;1956;1174;18,4;:;0;47;295;541;535;538;dolnoœl¹skie;dzier¿oniowski;m. Pi³awa Górna;2;2;4;1;Pi³awa Górna;gmina miejska;43831;DOLNOŒL¥SKIE;dzier¿oniowski;m. Pi³awa Górna;020204
